variables,high,low,sum
Vehicle frontal area,0.033,-0.03,0.062
Engine drivetrain efficiency,-0.027,0.037,0.064
Engine efficiency,-0.027,0.037,0.064
Electric mile percetage,0.032,-0.04,0.072
Road speed,0.047,-0.038,0.085
Engine displacement,-0.054,0.074,0.128
Vehicle mass,0.07,-0.066,0.136
Grid carbon intensity,0.078,-0.078,0.157
Motor powertrain efficiency,-0.176,0.19,0.365
