variables,high,low,sum
Vehicle frontal area,0.029418386,-0.029157249,0.058575635
Road speed,0.088739369,-0.121192648,0.209932016
Vehicle mass,0.120820689,-0.120564055,0.241384744
Grid carbon intensity,0.15000045,-0.15000045,0.3000009
Motor powertrain efficiency,-0.20097431,0.23351823,0.43449254
